Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
Class=republican handicapped-infants=y water-project-cost-sharing=n el-salvador-aid=y
Class=democrat handicapped-infants=n water-project-cost-sharing=n el-salvador-aid=y
